doc_id,url,url_confidence,publisher,title,retrieved_at,last_updated,licence,filename,sha256,pages,text_layer
about-medicare-medicare-services-australia,https://www.servicesaustralia.gov.au/about-medicare?context=60092,sibling-link (1.00),Services Australia,About Medicare - Medicare - Services Australia,2026-09-11T16:07:45+10:00,11 September 2025,TO_VERIFY,About Medicare - Medicare - Services Australia.pdf,b2d4d128eacd35dbc15ff0ccf85d528ba658411122423eae1c7754687a7c0192,2,OK
acting-for-someone-with-medicare-medicare-services-australia,https://www.servicesaustralia.gov.au/acting-for-someone-with-medicare?context=60092,sibling-link (1.00),Services Australia,Acting for someone with Medicare - Medicare - Services Australia,2026-09-11T16:11:54+10:00,28 April 2026,TO_VERIFY,Acting for someone with Medicare - Medicare - Services Australia.pdf,da719ef910af113040ced7b6ad61781a4036bbfb34c0068416ed2d8fb2c295df,2,OK
applying-for-an-abn-australian-business-register,https://www.abr.gov.au/business-super-funds-charities/applying-abn,verified,Australian Business Register,Applying for an ABN | Australian Business Register,2026-09-11T16:15:43+10:00,11 Jun 2026,TO_VERIFY,Applying for an ABN _ Australian Business Register.pdf,d8a8d705a08e9ecabc2fa23f82a94f7c66d1055c6e17f310c6ac436ad44006ff,3,OK
bulk-billing-medicare-services-australia,https://www.servicesaustralia.gov.au/bulk-billing?context=60092,sibling-link (1.00),Services Australia,Bulk billing - Medicare - Services Australia,2026-09-11T16:09:55+10:00,1 July 2026,TO_VERIFY,Bulk billing - Medicare - Services Australia.pdf,7ab25f638b261d59dfda7a7fe73ca9745e1e02334156e66fb962447b15c89fa4,3,OK
casual-employment-changes-fair-work-ombudsman,https://www.fairwork.gov.au/about-us/workplace-laws/legislation-changes/closing-loopholes/casual-employment-changes,self-canonical,Fair Work Ombudsman,Casual employment changes - Fair Work Ombudsman,2026-09-11T16:20:23+10:00,not_shown,TO_VERIFY,Casual employment changes - Fair Work Ombudsman.pdf,e48c2a54abf9bafbfb434f24ee127bff52caf4ebcaa4991df73fd8397a24db6c,4,OK
check-visa-details-and-conditions,https://immi.homeaffairs.gov.au/visas/already-have-a-visa/check-visa-details-and-conditions/see-your-visa-conditions,verified,Department of Home Affairs,Check visa details and conditions,2026-09-11T15:54:15+10:00,1 July 2025,TO_VERIFY,Check visa details and conditions.pdf,800a6b0e30da55deb33c1e8def51ad6679f800c70dac246836749e70398c6cef,10,OK
check-visa-details-and-conditions2,https://immi.homeaffairs.gov.au/visas/already-have-a-visa/check-visa-details-and-conditions/conditions-list,verified,Department of Home Affairs,Check visa details and conditions,2026-09-11T15:58:30+10:00,23 February 2026,TO_VERIFY,Check visa details and conditions2.pdf,e1380f618a01bd23953c42359997ea47237c9f205ee52b21fafeb91b6f73ab27,2,OK
children-s-health-care-covered-by-medicare-medicare-services,https://www.servicesaustralia.gov.au/childrens-health-care-covered-medicare?context=60092,PATTERN-INFERRED (check),Services Australia,Children's health care covered by Medicare - Medicare - Services Australia,2026-09-11T16:08:50+10:00,27 May 2026,TO_VERIFY,Children's health care covered by Medicare - Medicare - Services Australia.pdf,41e05334b7a6d5777c11074eb8ca18384e96c45c63d2a0fffc10137f56dbca8c,5,OK
criminalising-wage-underpayments-and-other-issues-fair-work-,https://www.fairwork.gov.au/about-us/workplace-laws/legislation-changes/closing-loopholes/criminalising-wage-underpayments-and-other-issues,self-canonical,Fair Work Ombudsman,Criminalising wage underpayments and other issues - Fair Work Ombudsman,2026-09-11T16:20:01+10:00,not_shown,TO_VERIFY,Criminalising wage underpayments and other issues - Fair Work Ombudsman.pdf,a4fe5e572b3c246d7050fac328fa11bc968664eae8d0898b292ed8d61ce99de5,4,OK
enrolling-in-medicare-medicare-services-australia,https://www.servicesaustralia.gov.au/enrolling-medicare?context=60092,sibling-link (1.00),Services Australia,Enrolling in Medicare - Medicare - Services Australia,2026-09-11T16:06:19+10:00,31 July 2026,TO_VERIFY,Enrolling in Medicare - Medicare - Services Australia.pdf,d81b23d5453ca793b94b68794fc49949a87e1fb0bf01baa95eddd4179ce4e928,5,OK
