source_id,url,publisher,title,retrieved_at,last_updated,licence,is_superseded,superseded_by,notes
S01,https://www.abr.gov.au/business-super-funds-charities/applying-abn,Australian Business Register,Applying for an ABN | Australian Business Register,2026-09-11,2026-06-11,TODO,false,,doc_id: applying-for-an-abn-australian-business-register | filename: Applying for an ABN _ Australian Business Register.pdf
S02,https://www.servicesaustralia.gov.au/bulk-billing?context=60092,Services Australia,Bulk billing - Medicare - Services Australia,2026-09-11,2026-07-01,TODO,false,,doc_id: bulk-billing-medicare-services-australia | filename: Bulk billing - Medicare - Services Australia.pdf
S03,https://immi.homeaffairs.gov.au/visas/already-have-a-visa/check-visa-details-and-conditions/see-your-visa-conditions,Department of Home Affairs,Check visa details and conditions,2026-09-11,2025-07-01,TODO,false,,doc_id: check-visa-details-and-conditions | filename: Check visa details and conditions.pdf
S04,https://immi.homeaffairs.gov.au/visas/already-have-a-visa/check-visa-details-and-conditions/conditions-list,Department of Home Affairs,Check visa details and conditions,2026-09-11,2026-02-23,TODO,false,,doc_id: check-visa-details-and-conditions2 | filename: Check visa details and conditions2.pdf
S05,https://www.servicesaustralia.gov.au/enrolling-medicare?context=60092,Services Australia,Enrolling in Medicare - Medicare - Services Australia,2026-09-11,2026-07-31,TODO,false,,doc_id: enrolling-in-medicare-medicare-services-australia | filename: Enrolling in Medicare - Medicare - Services Australia.pdf
S06,https://www.fairwork.gov.au/about-us/workplace-laws/fair-work-system,Fair Work Ombudsman,Fair Work system - Fair Work Ombudsman,2026-09-11,TODO,TODO,false,,doc_id: fair-work-system-fair-work-ombudsman | filename: Fair Work system - Fair Work Ombudsman.pdf | URL confidence: self-canonical
S07,https://www.servicesaustralia.gov.au/how-your-medicare-card-and-account-work?context=60092,Services Australia,How your Medicare card and account work - Medicare - Services Australia,2026-09-11,2026-04-02,TODO,false,,doc_id: how-your-medicare-card-and-account-work-medicare-services-au | filename: How your Medicare card and account work - Medicare - Services Australia.pdf
S08,https://www.fairwork.gov.au/workplace-problems/common-workplace-problems/im-a-migrant-worker-being-treated-unfairly,Fair Work Ombudsman,I'm a migrant worker being treated unfairly - Fair Work Ombudsman,2026-09-11,TODO,TODO,false,,doc_id: i-m-a-migrant-worker-being-treated-unfairly-fair-work-ombuds | filename: I'm a migrant worker being treated unfairly - Fair Work Ombudsman.pdf | URL confidence: self-canonical
S09,https://www.fairwork.gov.au/workplace-problems/common-workplace-problems/im-not-getting-pay-slips,Fair Work Ombudsman,I'm not getting pay slips - Fair Work Ombudsman,2026-09-11,TODO,TODO,false,,doc_id: i-m-not-getting-pay-slips-fair-work-ombudsman | filename: I'm not getting pay slips - Fair Work Ombudsman.pdf | URL confidence: self-canonical
S10,https://www.fairwork.gov.au/workplace-problems/common-workplace-problems/my-pay-doesnt-seem-right,Fair Work Ombudsman,My pay doesn't seem right - Fair Work Ombudsman,2026-09-11,TODO,TODO,false,,doc_id: my-pay-doesn-t-seem-right-fair-work-ombudsman | filename: My pay doesn't seem right - Fair Work Ombudsman.pdf | URL confidence: self-canonical
S13,https://transport.vic.gov.au/tickets-and-payments,Transport Victoria,Tickets and payments - Transport Victoria,2026-09-11,TODO,TODO,false,,doc_id: tickets-and-payments-transport-victoria | filename: Tickets and payments - Transport Victoria.pdf
S15,https://www.studyaustralia.gov.au/en/plan-your-move/your-first-week-in-australia,Study Australia,Your first week in Australia | Study Australia,2026-09-11,TODO,TODO,false,,doc_id: your-first-week-in-australia-study-australia | filename: Your first week in Australia _ Study Australia.pdf | URL confidence: PATTERN-INFERRED (check)
S16,https://transport.vic.gov.au/tickets-and-payments/myki,Transport Victoria,myki | Your ticket to travel | Public transport in Victoria - Transport Victoria,2026-09-11,TODO,TODO,false,,doc_id: myki-your-ticket-to-travel-public-transport-in-victoria-tran | filename: myki _ Your ticket to travel _ Public transport in Victoria - Transport Victoria.pdf
S17,http://web.archive.org/web/20230831101024/https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500/temporary-relaxation-of-working-hours-for-student-visa-holders,Department of Home Affairs,Temporary relaxation of working hours for student visa holders (snapshot 2023-08-31),2026-09-22,2023-08-31,TODO,false,,Snapshot date: 2023-08-31 | Archive URL: http://web.archive.org/web/20230831101024/https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500/temporary-relaxation-of-working-hours-for-student-visa-holders | Current static HTML member of currency pair | filename: home_affairs_student_visa_work_hours_20230831_current.html
S18,http://web.archive.org/web/20220607122248/https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500/temporary-relaxation-of-working-hours-for-student-visa-holders,Department of Home Affairs,Temporary relaxation of working hours for student visa holders (snapshot 2022-06-07),2026-09-22,2022-06-07,TODO,true,S17,Snapshot date: 2022-06-07 | Archive URL: http://web.archive.org/web/20220607122248/https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500/temporary-relaxation-of-working-hours-for-student-visa-holders | Superseded static HTML member of currency pair | filename: home_affairs_student_visa_work_hours_20220607_superseded.html
